metric,n_ssr,n_csr,median_ssr,iqr_ssr,median_csr,iqr_csr,u_stat,p_value,effect_r,effect_magnitude,direction,scenario
Total energy,10,10,6372.16,1684.62,7040.33,1281.92,35.0,0.27304,0.3,medium,SSR lower,dynamic
Average power,10,10,836.45,206.77,773.65,91.62,66.0,0.24132,-0.32,medium,CSR lower,dynamic
LCP — cold load,10,10,3302.0,16.0,3270.0,25.0,93.5,0.00103,-0.87,large,CSR lower,dynamic
FCP — cold load,10,10,3302.0,16.0,3270.0,25.0,93.5,0.00103,-0.87,large,CSR lower,dynamic
TTFB — cold load,10,10,31.25,76.77,22.1,46.05,68.0,0.18588,-0.36,medium,CSR lower,dynamic
Total Blocking Time (all pages),10,10,0.0,0.0,0.0,0.0,50.0,1.0,0.0,negligible,CSR lower,dynamic
CLS — cold load,10,10,0.0,0.0,0.0,0.0,50.0,1.0,0.0,negligible,CSR lower,dynamic
Transfer size (all pages),10,10,7.12,0.0,3.93,0.0,100.0,2e-05,-1.0,large,CSR lower,dynamic
JS heap peak,10,10,9.5,0.0,9.5,0.0,50.0,1.0,0.0,negligible,CSR lower,dynamic
Total energy,10,10,5769.53,401.82,9047.77,18662.8,5.0,0.00077,0.9,large,SSR lower,massive
Average power,10,10,768.7,73.83,1044.1,2242.02,19.0,0.02113,0.62,large,SSR lower,massive
LCP — cold load,10,10,3296.0,16.0,3274.0,26.0,76.0,0.05318,-0.52,large,CSR lower,massive
FCP — cold load,10,10,3296.0,16.0,3274.0,26.0,76.0,0.05318,-0.52,large,CSR lower,massive
TTFB — cold load,10,10,67.8,83.8,21.95,139.38,70.0,0.14047,-0.4,medium,CSR lower,massive
Total Blocking Time (all pages),10,10,0.0,0.0,0.0,0.0,50.0,1.0,0.0,negligible,CSR lower,massive
CLS — cold load,10,10,0.0,0.0,0.0,0.0,50.0,1.0,0.0,negligible,CSR lower,massive
Transfer size (all pages),10,10,7.13,0.0,3.93,0.0,100.0,2e-05,-1.0,large,CSR lower,massive
JS heap peak,10,10,9.5,0.0,13.6,0.0,0.0,2e-05,1.0,large,SSR lower,massive
Total energy,10,10,5742.91,378.76,7960.08,2159.48,7.0,0.00131,0.86,large,SSR lower,static
Average power,10,10,764.05,30.17,855.3,232.93,10.0,0.00283,0.8,large,SSR lower,static
LCP — cold load,10,10,3292.0,16.0,3290.0,15.0,50.0,1.0,0.0,negligible,CSR lower,static
FCP — cold load,10,10,3286.0,18.0,3290.0,15.0,43.0,0.62027,0.14,small,SSR lower,static
TTFB — cold load,10,10,24.1,17.57,80.65,134.97,51.0,0.96985,-0.02,negligible,SSR lower,static
Total Blocking Time (all pages),10,10,0.0,0.0,0.0,0.0,50.0,1.0,0.0,negligible,CSR lower,static
CLS — cold load,10,10,0.0,0.0,0.0,0.0,50.0,1.0,0.0,negligible,CSR lower,static
Transfer size (all pages),10,10,7.17,0.0,3.92,0.0,100.0,2e-05,-1.0,large,CSR lower,static
JS heap peak,10,10,9.5,0.0,9.5,0.0,50.0,1.0,0.0,negligible,CSR lower,static
