timestamp_s,current_ua,voltage_uv,temp_deci_c,charge_counter_uah,source
1775048057.014,-277000,3843000,255,3025000,dumpsys_battery
1775048057.672,-277000,3843000,255,3025000,dumpsys_battery
1775048058.334,-277000,3843000,255,3025000,dumpsys_battery
1775048058.830,-277000,3843000,255,3025000,dumpsys_battery
1775048059.368,-277000,3843000,255,3025000,dumpsys_battery
1775048059.801,-277000,3843000,255,3025000,dumpsys_battery
1775048060.329,-277000,3843000,255,3025000,dumpsys_battery
1775048060.823,-277000,3843000,255,3025000,dumpsys_battery
1775048061.433,-277000,3843000,255,3025000,dumpsys_battery
1775048061.984,-277000,3843000,255,3025000,dumpsys_battery
1775048062.446,-277000,3843000,255,3025000,dumpsys_battery
1775048062.972,-277000,3843000,255,3025000,dumpsys_battery
1775048063.445,-277000,3843000,255,3025000,dumpsys_battery
1775048063.887,-277000,3843000,255,3025000,dumpsys_battery
1775048064.411,-277000,3843000,255,3025000,dumpsys_battery
1775048064.927,-277000,3843000,255,3025000,dumpsys_battery
